District Id,Time Id,Dose 1,Dose 2
TG_Medak,Overall,188164,60179
TG_Medchal Malkajgiri,Overall,1651153,563116
TG_Mulugu,Overall,98620,31334
TG_Nagarkurnool,Overall,148721,54137
TG_Nalgonda,Overall,353623,83708
TG_Narayanpet,Overall,63676,17307
TG_Nirmal,Overall,175913,84845
TG_Nizamabad,Overall,350674,122051
TG_Peddapalli,Overall,294273,79835
TG_Rajanna Sircilla,Overall,170075,71250
TG_Ranga Reddy,Overall,1697361,567045
TG_Sangareddy,Overall,383317,121009
TG_Siddipet,Overall,314177,125441
TG_Suryapet,Overall,262583,82010
TG_Vikarabad,Overall,128723,42252
TG_Wanaparthy,Overall,93098,34544
TG_Warangal Rural,Overall,147065,35710
TG_Warangal Urban,Overall,492033,142361
TG_Yadadri Bhuvanagiri,Overall,264416,129301
TN_Ariyalur,Overall,196610,39451
TN_Chengalpattu,Overall,779469,224656
TN_Chennai,Overall,3320488,1308558
TN_Coimbatore,Overall,1733689,423763
TN_Cuddalore,Overall,632276,126445
TN_Dharmapuri,Overall,456329,79716
TN_Dindigul,Overall,342794,74502
TN_Dindigul,Overall,342794,74502
TN_Erode,Overall,801364,144035
TN_Kallakurichi,Overall,336386,53124
TN_Kancheepuram,Overall,323467,51847
TN_Kanyakumari,Overall,616206,133804
TN_Karur,Overall,331662,63095
TN_Krishnagiri,Overall,644752,123521
TN_Madurai,Overall,826057,212560
TN_Nagapattinam,Overall,439207,70025
TN_Namakkal,Overall,602855,134592
TN_Nilgiris,Overall,417736,115340
TN_Perambalur,Overall,181322,34392
TN_Pudukkottai,Overall,216714,30197
TN_Pudukkottai,Overall,216714,30197
TN_Ramanathapuram,Overall,205505,38572
TN_Ramanathapuram,Overall,205505,38572
TN_Ranipet,Overall,272554,50618
TN_Salem,Overall,309203,87713
TN_Salem,Overall,309203,87713
TN_Sivaganga,Overall,394696,63886
TN_Tenkasi,Overall,351665,64232
TN_Thanjavur,Overall,632544,114204
TN_Theni,Overall,341489,61065
TN_Thiruvallur,Overall,235801,61112
TN_Thiruvallur,Overall,235801,61112
TN_Thiruvarur,Overall,365240,56059
TN_Thoothukkudi,Overall,210525,44149
TN_Thoothukkudi,Overall,210525,44149
TN_Tiruchirappalli,Overall,856261,206742
TN_Tirunelveli,Overall,397509,83852
